,nums,aks
132,307,50.41956449999998
133,309,8.710000838618726e-05
134,311,62.074064100001124
135,313,83.6641377999913
136,315,8.340000931639224e-05
137,317,51.84165820000635
138,319,0.00010069999552797526
139,321,6.330000178422779e-05
140,323,8.359999628737569e-05
141,325,7.069999992381781e-05
142,327,6.36000040685758e-05
143,329,7.780001033097506e-05
144,331,55.69122029999562
145,333,0.00011219999578315765
146,335,6.580000626854599e-05
147,337,56.79068609999376
148,339,0.00012169999536126852
149,341,9.819999104365706e-05
150,343,8.300004992634058e-06
151,345,0.00010509999992791563
152,347,80.81364079999912
153,349,97.08011559999431
154,351,0.00012170000991318375
155,353,73.88265539999702
156,355,8.279999019578099e-05
157,357,8.339999476447701e-05
158,359,75.57263409999723
159,361,2.340000355616212e-05
160,363,7.360000745393336e-05
161,365,6.770000618416816e-05
162,367,87.85356040000624
163,369,7.809999806340784e-05
164,371,0.0001078000059351325
165,373,132.4972270000144
166,375,0.00012910000805277377
167,377,0.00011720000475179404
168,379,83.91358089999994
169,381,0.00010070001007989049
170,383,110.21500799999922
171,385,0.00014349998673424125
172,387,9.000000136438757e-05
173,389,80.37814530001197
174,391,0.0001238999975612387
175,393,7.449999975506216e-05
176,395,7.71000050008297e-05
177,397,99.04107849999855
178,399,9.329999738838524e-05
179,401,73.55136000001221
180,403,0.00013929999840911478
181,405,6.58999924780801e-05
182,407,7.850000110920519e-05
183,409,129.9877306999988
184,411,9.539999882690609e-05
185,413,9.109999518841505e-05
186,415,6.890000076964498e-05
187,417,6.760000542271882e-05
188,419,108.52190490000066
189,421,91.2904838000104
190,423,0.00011060001270379871
191,425,9.14999982342124e-05
192,427,7.989999721758068e-05
193,429,6.969999230932444e-05
194,431,113.70367419999093
195,433,95.52304990000266
196,435,0.00010140000085812062
197,437,7.979999645613134e-05
198,439,98.11054180000792
199,441,2.2799998987466097e-05
200,443,90.93158800000674
201,445,0.0001320000010309741
202,447,7.669998740311712e-05
203,449,89.32018929999322
204,451,8.969999908003956e-05
205,453,8.450000314041972e-05
206,455,6.919998850207776e-05
207,457,104.51971760000743
208,459,8.549999620299786e-05
209,461,106.39164359999995
210,463,173.12701890000608
211,465,8.64000030560419e-05
212,467,108.80236030000378
213,469,0.00015279999934136868
214,471,6.579999171663076e-05
215,473,0.00013139999646227807
216,475,7.049999840091914e-05
217,477,0.00010720000136643648
218,479,193.03766969998833
219,481,0.00017370001296512783
220,483,9.110000974033028e-05
221,485,8.969999908003956e-05
222,487,118.35501899999508
223,489,9.860000864136964e-05
224,491,124.51110390000395
225,493,0.00016119999054353684
226,495,7.850000110920519e-05
227,497,0.0001311999949393794
228,499,154.60217729999567
229,501,9.700001101009548e-05
230,503,132.4843852000049
231,505,9.190000128000975e-05
232,507,7.439999899361283e-05
233,509,405.70565160000115
234,511,0.00012740000966005027
235,513,7.110000296961516e-05
236,515,0.00013359999866224825
237,517,9.729999874252826e-05
238,519,7.049999840091914e-05
239,521,108.65727180000977
240,523,134.0943272000004
241,525,8.969999908003956e-05
242,527,0.00016160000814124942
243,529,5.599998985417187e-06
244,531,7.000000914558768e-05
245,533,7.979999645613134e-05
246,535,0.00011409999569877982
247,537,0.00012460000289138407
248,539,0.00011900000390596688
249,541,115.89033599999675
250,543,0.00014290001126937568
251,545,0.00014679999731015414
252,547,117.05343310000899
253,549,0.00011959999392274767
254,551,0.0001500999933341518
255,553,0.00012199999764561653
256,555,0.000119399992399849
257,557,124.20493540000462
258,559,0.00012919999426230788
259,561,9.849999332800508e-05
260,563,126.9893630000006
261,565,0.000142700009746477
262,567,9.949998639058322e-05
263,569,129.9598083000019
264,571,181.40432390000205
265,573,0.00011670000094454736
266,575,7.909999112598598e-05
267,577,129.3422367000021
268,579,9.06000059330836e-05
269,581,7.71999912103638e-05
270,583,0.00011749999248422682
271,585,7.399999594781548e-05
272,587,167.82293730000674
273,589,0.0001723000023048371
274,591,7.339999137911946e-05
275,593,138.2209229
276,595,0.00010379999002907425
277,597,9.290000889450312e-05
278,599,145.5536776999943
279,601,206.76930699999502
280,603,0.0002145000034943223
281,605,0.0001714999962132424
282,607,233.7617104999954
283,609,0.00010029999248217791
284,611,0.00012939999578520656
285,613,208.35825570000452
286,615,9.57999873207882e-05
287,617,150.50322550001147
288,619,189.5685622000019
289,621,0.00011619999713730067
290,623,0.00023890000011306256
291,625,1.3700002455152571e-05
292,627,0.0001987000141525641
293,629,0.00023469999723602086
294,631,253.4767742999975
295,633,0.00011510000331327319
296,635,0.00012569999671541154
297,637,8.459998934995383e-05
298,639,8.150000940077007e-05
299,641,177.12907409999752
