,nums,mr,td
374,791,0,0.0
375,793,0,0.0
376,795,0,0.0
377,797,0,0.0
378,799,0,0.0
379,801,0,0.0
380,803,0,0.0
381,805,0,0.0
382,807,0,0.0
383,809,0,0.0
384,811,0,0.0
385,813,0,0.0
386,815,0,0.0
387,817,0,0.0
388,819,0,0.0
389,821,0,0.0
390,823,0,0.0
391,825,0,0.0
392,827,0,0.0
393,829,0,0.0
394,831,0,0.0
395,833,0,0.0
396,835,0,0.0
397,837,0,0.0
398,839,0,0.0
399,841,0,0.0
400,843,0,0.0
401,845,0,0.0
402,847,0,0.0
403,849,0,0.0
404,851,0,0.0
405,853,0,0.0
406,855,0,0.0
407,857,0,0.0
408,859,0,0.0
409,861,0,0.0
410,863,0,0.0
411,865,0,0.0
412,867,0,0.0
413,869,0,0.0
414,871,0,0.0
415,873,0,0.0
416,875,0,0.0
417,877,0,0.0
418,879,0,0.0
419,881,0,0.0
420,883,0,0.0
421,885,0,0.0
422,887,0,0.0
423,889,0,0.0
424,891,0,0.0
425,893,0,0.0
426,895,0,0.0
427,897,0,0.0
428,899,0,0.0
429,901,0,0.0
430,903,0,0.0
431,905,0,0.0
432,907,0,0.0
433,909,0,0.0
434,911,0,0.0
435,913,0,0.0
436,915,0,0.0
437,917,0,0.0
438,919,0,0.0
439,921,0,0.0
440,923,0,0.0
441,925,0,0.0
442,927,0,0.0
443,929,0,0.0
444,931,0,0.0
445,933,0,0.0
446,935,0,0.0
447,937,0,0.0
448,939,0,0.0
449,941,0,0.0
450,943,0,0.0
451,945,0,0.0
452,947,0,0.0
453,949,0,0.0
454,951,0,0.0
455,953,0,0.0
456,955,0,0.0
457,957,0,0.0
458,959,0,0.0
459,961,0,0.0
460,963,0,0.0
461,965,0,0.0
462,967,0,0.0
463,969,0,0.0
464,971,0,0.0
465,973,0,0.0
466,975,0,0.0
467,977,0,0.0
468,979,0,0.0
469,981,0,0.0
470,983,0,0.0
471,985,0,0.0
472,987,0,0.0
473,989,0,0.0
474,991,0,0.0
475,993,0,0.0
476,995,0,0.0
477,997,0,0.0
478,999,0,0.0
